name,run,R1,R2
mutDNA-1,SRR7106940,mutDNA-1_R1.fastq.gz,mutDNA-1_R2.fastq.gz
mutDNA-2,SRR7106941,mutDNA-2_R1.fastq.gz,mutDNA-2_R2.fastq.gz
mutDNA-3,SRR7106938,mutDNA-3_R1.fastq.gz,mutDNA-3_R2.fastq.gz
wtDNA-1,SRR7106939,wtDNA-1_R1.fastq.gz,wtDNA-1_R2.fastq.gz
wtDNA-2,SRR7106936,wtDNA-2_R1.fastq.gz,wtDNA-2_R2.fastq.gz
wtDNA-3,SRR7106937,wtDNA-3_R1.fastq.gz,wtDNA-3_R2.fastq.gz
wtvirus-1,SRR7106934,wtvirus-1_R1.fastq.gz,wtvirus-1_R2.fastq.gz
wtvirus-2,SRR7106935,wtvirus-2_R1.fastq.gz,wtvirus-2_R2.fastq.gz
wtvirus-3,SRR7106932,wtvirus-3_R1.fastq.gz,wtvirus-3_R2.fastq.gz
mutvirus-1,SRR7106933,mutvirus-1_R1.fastq.gz,mutvirus-1_R2.fastq.gz
mutvirus-2,SRR7106930,mutvirus-2_R1.fastq.gz,mutvirus-2_R2.fastq.gz
mutvirus-3,SRR7106931,mutvirus-3_R1.fastq.gz,mutvirus-3_R2.fastq.gz
