number of reads,number of barcodes
1,213275
2,35680
3,51699
4,74746
5,100646
6,123441
7,138837
8,144243
9,138044
10,122288
11,100763
12,78722
13,57906
14,40470
15,26952
16,17042
17,10776
18,6745
19,4063
20,2633
21,1759
22,1250
23,898
24,650
25,527
26,420
27,333
28,329
29,244
30,186
31,189
32,141
33,156
34,115
35,107
36,103
37,90
38,96
39,58
40,70
41,60
42,53
43,52
44,52
45,49
46,55
47,32
48,26
49,32
50,23
51,27
52,23
53,23
54,14
55,15
56,21
57,27
58,17
59,19
60,13
61,23
62,19
63,18
64,14
65,13
66,14
67,15
68,7
69,12
70,10
71,8
72,8
73,15
74,13
75,9
76,7
77,8
78,9
79,4
80,9
81,13
82,5
83,9
84,8
85,7
86,5
87,5
88,7
89,7
90,6
91,3
92,5
93,5
94,6
95,3
96,2
97,6
99,3
100,4
101,2
102,2
103,4
104,4
105,4
106,3
107,3
108,6
109,2
110,5
111,3
112,1
113,3
114,4
115,2
116,2
117,1
119,2
120,1
122,3
123,2
124,3
125,2
126,1
127,3
128,1
129,1
130,2
131,4
132,2
134,1
135,5
136,1
137,2
138,1
139,1
140,1
141,2
145,4
146,1
147,1
148,1
150,1
152,2
154,1
155,1
156,1
157,1
158,2
164,1
165,1
166,1
167,1
168,1
169,1
170,2
171,1
175,2
176,1
177,2
178,3
180,2
185,2
186,1
190,1
191,1
192,1
193,3
197,1
200,1
201,1
204,2
207,1
208,1
209,3
210,3
215,2
216,1
218,1
219,1
223,1
224,1
229,1
236,1
249,1
251,1
259,1
260,2
262,1
267,1
273,1
280,2
286,1
290,1
291,1
298,1
304,1
317,1
333,1
357,1
365,1
376,1
402,1
412,1
427,1
477,1
526,1
543,1
593,1
644,1
710,1
784,1
862,1
984,1
1897,1
